year,origin_state,destination_state,tourists_thousands
2022,Pulau Pinang,Negeri Sembilan,30.041
2022,Pulau Pinang,Pahang,214.661
2022,Pulau Pinang,Pulau Pinang,832.082
2022,Pulau Pinang,Perak,348.879
2022,Pulau Pinang,Perlis,129.598
2022,Pulau Pinang,Selangor,128.702
2022,Pulau Pinang,Terengganu,101.361
2022,Pulau Pinang,Sabah,24.593
2022,Pulau Pinang,Sarawak,24.601
2022,Pulau Pinang,W.P. Kuala Lumpur,381.174
2022,Pulau Pinang,W.P. Labuan,0.167
2022,Pulau Pinang,W.P. Putrajaya,34.439
2022,Perak,Johor,150.055
2022,Perak,Kedah,413.523
2022,Perak,Kelantan,43.169
2022,Perak,Melaka,182.635
2022,Perak,Negeri Sembilan,64.395
2022,Perak,Pahang,200.533
2022,Perak,Pulau Pinang,153.71
2022,Perak,Perak,1308.725
2022,Perak,Perlis,42.116
2022,Perak,Selangor,343.764
2022,Perak,Terengganu,70.639
2022,Perak,Sabah,17.472
2022,Perak,Sarawak,64.599
2022,Perak,W.P. Kuala Lumpur,424.855
2022,Perak,W.P. Labuan,4.008
2022,Perak,W.P. Putrajaya,51.154
2022,Perlis,Johor,4.007
2022,Perlis,Kedah,88.044
2022,Perlis,Kelantan,33.567
2022,Perlis,Melaka,3.16
2022,Perlis,Negeri Sembilan,4.391
2022,Perlis,Pahang,6.854
2022,Perlis,Pulau Pinang,49.579
2022,Perlis,Perak,59.811
2022,Perlis,Perlis,23.931
2022,Perlis,Selangor,31.458
2022,Perlis,Terengganu,5.644
2022,Perlis,Sabah,0.855
2022,Perlis,Sarawak,1.86
2022,Perlis,W.P. Kuala Lumpur,41.002
2022,Perlis,W.P. Labuan,2.303
2022,Perlis,W.P. Putrajaya,1.243
2022,Selangor,Johor,1708.648
2022,Selangor,Kedah,1019.032
2022,Selangor,Kelantan,795.433
2022,Selangor,Melaka,1639.098
2022,Selangor,Negeri Sembilan,1010.262
2022,Selangor,Pahang,2322.125
2022,Selangor,Pulau Pinang,1058.05
2022,Selangor,Perak,2628.658
2022,Selangor,Perlis,117.07
2022,Selangor,Selangor,2505.445
2022,Selangor,Terengganu,883.18
2022,Selangor,Sabah,120.859
2022,Selangor,Sarawak,100.811
2022,Selangor,W.P. Kuala Lumpur,879.115
2022,Selangor,W.P. Labuan,4.491
2022,Selangor,W.P. Putrajaya,37.191
2022,Terengganu,Johor,32.507
2022,Terengganu,Kedah,15.281
2022,Terengganu,Kelantan,231.307
2022,Terengganu,Melaka,19.126
2022,Terengganu,Negeri Sembilan,19.361
2022,Terengganu,Pahang,52.814
